GAME_ID,GAME_DATE,TEAM,OPPONENT,WON,TOTAL_POINTS,AVG_PTS_LAST_5,WINS_LAST_5
12300015,2023-10-10,ATL,CLE,1,215,,
12300028,2023-10-12,ATL,MEM,1,205,,
12300035,2023-10-14,ATL,NOP,1,215,,
12300044,2023-10-16,ATL,IND,0,228,,
12300068,2023-10-20,ATL,PHI,0,226,,
22300063,2023-10-25,ATL,CHA,0,226,217.8,3.0
22300079,2023-10-27,ATL,NYK,0,246,220.0,2.0
22300097,2023-10-29,ATL,MIL,1,237,228.2,1.0
22300104,2023-10-30,ATL,MIN,1,240,232.6,1.0
22300117,2023-11-01,ATL,WAS,1,251,235.0,2.0
22300135,2023-11-04,ATL,NOP,1,228,240.0,3.0
22300155,2023-11-06,ATL,OKC,0,243,240.4,4.0
22300172,2023-11-09,ATL,ORL,1,239,239.8,4.0
22300175,2023-11-11,ATL,MIA,0,226,240.2,4.0
22300018,2023-11-14,ATL,DET,1,246,237.4,3.0
22300193,2023-11-15,ATL,NYK,0,230,236.4,3.0
22300029,2023-11-17,ATL,PHI,0,242,236.8,2.0
22300039,2023-11-21,ATL,IND,0,309,236.6,2.0
22300227,2023-11-22,ATL,BKN,1,292,250.6,1.0
22300241,2023-11-25,ATL,WAS,1,244,263.8,2.0
22300246,2023-11-26,ATL,BOS,0,216,263.4,2.0
22300055,2023-11-28,ATL,CLE,0,233,260.6,2.0
22300272,2023-11-30,ATL,SAS,1,272,258.8,2.0
22300286,2023-12-02,ATL,MIL,0,253,251.4,3.0
22301209,2023-12-06,ATL,BKN,0,227,243.6,2.0
22301218,2023-12-08,ATL,PHI,0,239,240.2,1.0
22300296,2023-12-11,ATL,DEN,0,251,244.8,1.0
22300313,2023-12-13,ATL,TOR,0,263,248.4,1.0
22300330,2023-12-15,ATL,TOR,1,229,246.6,0.0
22300336,2023-12-16,ATL,CLE,0,246,241.8,1.0
22300352,2023-12-18,ATL,DET,1,254,245.6,1.0
22300371,2023-12-20,ATL,HOU,1,261,248.6,2.0
22300384,2023-12-22,ATL,MIA,0,235,250.6,3.0
22300393,2023-12-23,ATL,MEM,0,244,245.0,3.0
22300408,2023-12-26,ATL,CHI,0,231,248.0,2.0
22300431,2023-12-29,ATL,SAC,0,227,245.0,2.0
22300445,2023-12-31,ATL,WAS,1,256,239.6,1.0
22300467,2024-01-03,ATL,OKC,1,279,238.6,1.0
22300480,2024-01-05,ATL,IND,0,266,247.4,2.0
22300499,2024-01-07,ATL,ORL,0,227,251.8,2.0
22300521,2024-01-10,ATL,PHI,1,271,251.0,2.0
22300533,2024-01-12,ATL,IND,0,234,259.8,3.0
