GAME_ID,GAME_DATE,TOTAL_POINTS,TEAMS,TEAM_RESULTS
12300001,2023-10-05,210,"['DAL', 'MIN']","['L', 'W']"
12300002,2023-10-07,200,"['MIN', 'DAL']","['W', 'L']"
12300003,2023-10-07,233,"['GSW', 'LAL']","['W', 'L']"
12300004,2023-10-08,207,"['MIL', 'CHI']","['W', 'L']"
12300005,2023-10-08,256,"['PHX', 'DET']","['W', 'L']"
12300006,2023-10-08,220,"['BOS', 'PHI']","['W', 'L']"
12300007,2023-10-08,249,"['IND', 'MEM']","['L', 'W']"
12300008,2023-10-08,211,"['SAC', 'TOR']","['L', 'W']"
12300009,2023-10-08,197,"['LAC', 'UTA']","['L', 'W']"
12300010,2023-10-09,221,"['BOS', 'NYK']","['L', 'W']"
12300011,2023-10-09,243,"['OKC', 'SAS']","['W', 'L']"
12300012,2023-10-09,255,"['BKN', 'LAL']","['L', 'W']"
12300013,2023-10-10,250,"['RMD', 'DAL']","['W', 'L']"
12300014,2023-10-10,227,"['WAS', 'CNS']","['W', 'L']"
12300015,2023-10-10,215,"['ATL', 'CLE']","['W', 'L']"
12300016,2023-10-10,222,"['MIA', 'CHA']","['W', 'L']"
12300017,2023-10-10,225,"['IND', 'HOU']","['L', 'W']"
12300018,2023-10-10,210,"['MIL', 'MEM']","['L', 'W']"
12300019,2023-10-10,227,"['ORL', 'NOP']","['W', 'L']"
12300020,2023-10-10,201,"['UTA', 'LAC']","['L', 'W']"
12300021,2023-10-10,222,"['DEN', 'PHX']","['W', 'L']"
12300022,2023-10-10,172,"['POR', 'NZB']","['W', 'L']"
12300023,2023-10-11,213,"['PHI', 'BOS']","['L', 'W']"
12300024,2023-10-11,210,"['SAC', 'LAL']","['L', 'W']"
12300025,2023-10-12,190,"['WAS', 'CHA']","['W', 'L']"
12300026,2023-10-12,213,"['CLE', 'ORL']","['L', 'W']"
12300027,2023-10-12,253,"['OKC', 'DET']","['L', 'W']"
12300028,2023-10-12,205,"['ATL', 'MEM']","['W', 'L']"
12300029,2023-10-12,238,"['BKN', 'MRA']","['W', 'L']"
12300030,2023-10-12,257,"['CHI', 'DEN']","['W', 'L']"
12300031,2023-10-12,207,"['HOU', 'NOP']","['W', 'L']"
12300032,2023-10-12,233,"['PHX', 'POR']","['W', 'L']"
12300033,2023-10-13,224,"['MIA', 'SAS']","['L', 'W']"
12300034,2023-10-13,254,"['LAL', 'GSW']","['L', 'W']"
12300035,2023-10-14,215,"['ATL', 'NOP']","['W', 'L']"
12300036,2023-10-14,121,"['MIN', 'NYK']","['W', nan]"
12300037,2023-10-14,271,"['UTA', 'POR']","['W', 'L']"
12300038,2023-10-15,232,"['OKC', 'CHA']","['L', 'W']"
12300039,2023-10-15,256,"['MEM', 'MIA']","['L', 'W']"
12300040,2023-10-15,227,"['CNS', 'TOR']","['L', 'W']"
12300041,2023-10-15,205,"['MIL', 'LAL']","['W', 'L']"
12300042,2023-10-15,218,"['CHI', 'DEN']","['L', 'W']"
12300043,2023-10-15,236,"['SAC', 'GSW']","['L', 'W']"
12300044,2023-10-16,228,"['ATL', 'IND']","['L', 'W']"
12300045,2023-10-16,209,"['MRA', 'CLE']","['L', 'W']"
12300046,2023-10-16,246,"['PHI', 'BKN']","['W', 'L']"
12300047,2023-10-16,188,"['HOU', 'SAS']","['W', 'L']"
12300048,2023-10-16,208,"['UTA', 'NZB']","['W', 'L']"
12300049,2023-10-16,223,"['PHX', 'POR']","['W', 'L']"
12300050,2023-10-17,196,"['ORL', 'NOP']","['L', 'W']"
12300051,2023-10-17,233,"['NYK', 'BOS']","['L', 'W']"
12300052,2023-10-17,208,"['TOR', 'CHI']","['W', 'L']"
12300053,2023-10-17,225,"['OKC', 'MIL']","['W', 'L']"
12300054,2023-10-17,249,"['MIN', 'MRA']","['W', 'L']"
12300055,2023-10-17,219,"['DEN', 'LAC']","['L', 'W']"
12300056,2023-10-18,211,"['BKN', 'MIA']","['W', 'L']"
12300057,2023-10-18,237,"['WAS', 'NYK']","['W', 'L']"
12300058,2023-10-18,220,"['HOU', 'SAS']","['L', 'W']"
12300059,2023-10-18,231,"['SAC', 'GSW']","['L', 'W']"
12300060,2023-10-19,226,"['CHA', 'BOS']","['L', 'W']"
12300061,2023-10-19,219,"['MIN', 'CHI']","['W', 'L']"
